part_number,manufacturer,condition,price,quantity,status,description
9L732EA,Hewlett-Packard,NEW,649.31,20,ON-SITE,HP 24-cr0334nw AMD Ryzen™ 7 7730U 60.5 cm (23.8 ) 1920 × 1080 px All-in-One PC 16 GB DDR4-SDRAM 512 GB SSD Free DOS Wi-Fi 6 (802.11ax) White
PRO AP242P 14M-649XEU,MSI,NEW,865.13,20,ON-SITE,MSI AIO PRO AP242P 14M-649XEU i5-14400 23.8 IPS LED FHD Non-Touch Anti-Glare 16GB SSD512GB M.2 AX211 WiFi 6E NoOS Black
F0JW001XPB,Lenovo,NEW,741.09,18,ON-SITE,Lenovo IdeaCentre AIO 27ILL11 Ultra 5 226V 27 FHD IPS 300 nits LBL AG 16GB LPDDR5X-8533 512GB SSD Intel Arc Graphics 130V 5.0MP camera No OS Luna Grey
F0JY0024PB,Lenovo,NEW,681.83,18,ON-SITE,Lenovo IdeaCentre AIO 24ILL11 Ultra 5 226V 23.8 FHD IPS 250 nits 100 Hz AG 16 GB LPDDR5X-8533 512 GB SSD Intel Arc Graphics 130V 5.0 MP webcam No OS Cloud Grey
12SB004EPB,Lenovo,NEW,1000.11,17,ON-SITE,Lenovo ThinkCentre neo 50a 27 Gen 5 Intel Core 5 210H 68.6 cm (27 ) 1920 x 1080 pixels Touchscreen All-in-One PC 16 GB DDR5-SDRAM 512 GB SSD Windows 11 Pro Wi-Fi 6 (802.11ax) Grey
F0JW001VPB,Lenovo,NEW,951.13,16,ON-SITE,Lenovo IdeaCentre AIO 27ILL11 Ultra 5 226V 27 FHD IPS 300 nits LBL AG 16GB LPDDR5X-8533 1TB SSD Intel Arc Graphics 130V 5.0MP camera Windows 11 Cloud Grey
12SD0060PB,Lenovo,NEW,932.54,15,ON-SITE,Lenovo ThinkCentre neo 50a 24 Gen 5 Intel Core 5 210H 60.5 cm (23.8 ) 1920 x 1080 pixels Touchscreen All-in-One PC 16 GB DDR5-SDRAM 512 GB SSD Windows 11 Pro Wi-Fi 6 (802.11ax) Grey
F0JW001SPB,Lenovo,NEW,816.75,15,ON-SITE,Lenovo IdeaCentre AIO 27ILL11 27 Intel Core Ultra 7 256V 16GB 512GB Win11 Home
F0HM00RQPB,Lenovo,NEW,880.32,13,ON-SITE,Lenovo IdeaCentre AIO 27IRH9 Intel® Core™ i5 i5-13420H 68.6 cm (27 ) 1920 x 1080 pixels All-in-One PC 16 GB DDR5-SDRAM 1 TB SSD Windows 11 Home Wi-Fi 6 (802.11ax) Grey
13AV000YPB,Lenovo,NEW,1460.99,13,ON-SITE,Lenovo ThinkCentre M90a G6 Ultra 7 265 23.8 FHD IPS 120Hz 250 nits LBL AG 32GB DDR5 5600 1TB SSD Intel Graphics 5.0MP camera + IR vPro Windows 11 Pro Black 3-year on-site warranty
F0HN00SLPB+888015471,Lenovo,NEW,864.22,13,ON-SITE,Lenovo IdeaCentre AIO 24IRH9 i5-13420H 23.8 FHD IPS AG 250 nits 100 Hz 16 GB DDR5 5200 SSD 1 TB Intel UHD Graphics Windows 11 Cloud Grey + Lenovo Slim DVD Burner DB65 (888015471)
F0HM00RTPB,Lenovo,NEW,841.44,12,ON-SITE,Lenovo IdeaCentre AIO 27IRH9 Intel® Core™ i5 i5-13420H 68.6 cm (27 ) QHD All-in-One PC 16 GB DDR5-SDRAM 512 GB SSD Windows 11 Home Wi-Fi 6 (802.11ax) Grey
