part_number,manufacturer,condition,price,quantity,status,description
10-13230-063,STANLEY,NEW,43.58,2,ON-SITE,STANLEY thermal cup Quencher H2.O FlowState 1.18 l pistachio
840228808299,FELLOW,NEW,27.45,2,ON-SITE,Fellow Carter Slide Mug Travel mug 473 ml Blue
11-01010,Kambukka,NEW,26.63,2,ON-SITE,Kambukka Etna 500 ml Black Stainless steel
840228805915,FELLOW,NEW,27.45,1,ON-SITE,Fellow Carter Slide Mug Travel mug 473 ml Green
10-12515-005,STANLEY,NEW,33.19,1,ON-SITE,Water Bottle Stanley the Aeroflight Iceflow 0.6 Lilac
10-09150-102,STANLEY,NEW,28.56,1,ON-SITE,Stanley Quick-Flip Thermal bottle 1.06 L Frost
840228803058,FELLOW,NEW,27.44,1,ON-SITE,Fellow Carter Move Mug Thermal mug 473 ml Dark red
840228805847,FELLOW,NEW,27.44,1,ON-SITE,Fellow Carter Move Mug Thermal mug 473 ml Sand
840228805830,FELLOW,NEW,27.44,1,ON-SITE,Fellow Carter Move Mug Thermal mug 473 ml brown
11-02027,Kambukka,NEW,19.72,1,ON-SITE,Kambukka Olympus Thermal mug 500 ml White
11-01047,Kambukka,NEW,28.22,1,ON-SITE,Kambukka Etna Grip Breezy Blue - thermal mug 500 ml
11-03035,Kambukka,NEW,23.13,1,ON-SITE,Kambukka Elton Insulated Chalk White - thermal bottle 600 ml
HD2650/90,Philips,NEW,40.83,80,ON-SITE,Philips Viva Collection HD2650/90 toaster 2 slice(s) 950 W Black Stainless steel
HD2640/10,Philips,NEW,38.93,39,ON-SITE,Philips HD2640/10 toaster 2 slice(s) 830 W White
HD2581/90,Philips,NEW,24.63,39,ON-SITE,Philips Daily Collection HD2581/90 Toaster
TT420D30,Tefal,NEW,29.7,33,ON-SITE,Tefal Equinox TT420D 7 2 slice(s) Black Stainless steel
TT761838,Tefal,NEW,29.31,30,ON-SITE,Tefal Loft 2S TT761838 2 slice(s) Black
HD2582/00,Philips,NEW,23.08,29,ON-SITE,Philips Daily Collection HD2582/00 toaster 2 slice(s) 830 W White
HD2581/00,Philips,NEW,22.4,25,ON-SITE,Toaster Philips HD2581/00 ( 900 W ; white color )
5KMT2204EBK,KitchenAid,NEW,195.52,24,ON-SITE,KitchenAid 5KMT2204EBK 7 2 slice(s) 1250 W Black
HD2638/11,Philips,NEW,32.59,19,ON-SITE,Philips Viva Collection HD2638/11 toaster 7 2 slice(s) 950 W Rose gold White
TAT3M121,BOSCH,NEW,34.56,16,ON-SITE,My Moment BOSCH TAT3M121 toaster (white)
5KMT2204EMS,KitchenAid,NEW,195.51,14,ON-SITE,KitchenAid 5KMT2204EMS 7 2 slice(s) 1250 W Grey
5KMT2204ECA,KitchenAid,NEW,198.18,13,ON-SITE,KitchenAid 5KMT2204ECA 7 2 slice(s) 1250 W Red
53008-001-0,ZWILLING,NEW,57.7,12,ON-SITE,ZWILLING ENFINIGY Toaster Small
TSF01CHMEU,SMEG,NEW,137.54,11,ON-SITE,Smeg 50's Style Toaster TSF01CHMEU Champagne
MR-706-WHITE,Maestro,NEW,10.85,10,ON-SITE,Maestro MR-706-White Toaster White
ES9600050B,BLACK+DECKER,NEW,26.6,7,ON-SITE,Toaster Black+Decker BXTO1001E (1000W)
5KMT2204EPP,KitchenAid,NEW,195.42,6,ON-SITE,KitchenAid 5KMT2204EPP 7 2 slice(s) 1250 W Petrol colour
TAT3M124,BOSCH,NEW,32.72,6,ON-SITE,Bosch TAT3M124 toaster 2 slice(s) 950 W Red
TSF03BLEU,SMEG,NEW,152.97,5,ON-SITE,Smeg 50's Style Toaster TSF03BLEU Black
ZTS7386,Zelmer,NEW,18.8,5,ON-SITE,Zelmer ZTS7386 toaster 2 slice(s) 750 W White
5KMT2204EOB,KitchenAid,NEW,195.5,5,ON-SITE,KitchenAid 5KMT2204EOB 7 2 slice(s) 1250 W Black
5KMT2204EAC,KitchenAid,NEW,195.52,5,ON-SITE,KitchenAid 5KMT2204EAC 7 2 slice(s) 1250 W Cream
960705000,taurus,NEW,24.46,4,ON-SITE,Taurus VINTAGE II CORAL 7 2 slice(s) 950 W
960713000,taurus,NEW,44.66,4,ON-SITE,Taurus Vintage Olive-Coloured Toaster 1500 W
960696000,taurus,NEW,31.7,3,ON-SITE,Taurus VINTAGE II 7 2 slice(s) 950 W Green
TAT 3M123,BOSCH,NEW,36.27,3,ON-SITE,Bosch TAT3M123 toaster 2 slice(s) 950 W Black
TSF01RDEU,SMEG,NEW,112.21,2,ON-SITE,Smeg toaster TSF01RDEU (Red)
960706000,taurus,NEW,24.47,1,ON-SITE,Toaster Taurus Vintage II Olive
TAT2M127,BOSCH,NEW,31.98,1,ON-SITE,Bosch TAT2M127 toaster
WA 3491 czarny,Clatronic,NEW,17.12,19,ON-SITE,Clatronic 261 679 waffle iron 5 waffle(s) Black 1200 W
VF3060,CONCEPT,NEW,20.68,10,ON-SITE,Waffle Maker CONCEPT VF3060 1400W 2.4 cm
AD 3062,Adler,NEW,26.5,6,ON-SITE,WAFER BOWL BAKER ADLER AD 3062
WA 3772,Clatronic,NEW,22.07,1,ON-SITE,Waffle iron CLATRONIC WA 3772
40488,Medisana,NEW,39.23,30,ON-SITE,Medisana BS 850 holistic 8-point analytical scale
PW 3368,Clatronic,NEW,8.1,23,ON-SITE,Clatronic PW 3368 Electronic Personal Scale (Transparent/Silver)
40547,Medisana,NEW,21.48,17,ON-SITE,Body analysis scale Medisana BS 460
PP1906V0,Tefal,NEW,19.35,13,ON-SITE,Tefal bathroom scale PP1906V0
AD 8187w,Adler,NEW,19.29,11,ON-SITE,ADLER AD 8187 bathroom scales white
PP1900V0,Tefal,NEW,19.9,5,ON-SITE,Tefal Classic PP1900V0 personal scale Square Beige Electronic personal scale
23501,Medisana,NEW,13,4,ON-SITE,Ecomed BS-70E Rectangle White Electronic personal scale
AD 8186w,Adler,NEW,12.08,3,ON-SITE,Electronic bathroom scale Adler AD 8186 white
23511,Medisana,NEW,9.4,2,ON-SITE,Personal scale Ecomed by Medisana PS-72E
40461,Medisana,NEW,28.47,1,ON-SITE,Body Analysis Scale Medisana PSD
AD 8177,Adler,NEW,30.57,1,ON-SITE,ADLER AD 8177 bathroom scales
AD 8174s,Adler,NEW,10.26,1,ON-SITE,Electronic bathroom scale Adler AD 8174s LED
AD 8186b,Adler,NEW,12.04,1,ON-SITE,Electronic bathroom scale Adler AD 8186 Black
AD 8183,Adler,NEW,11.2,1,ON-SITE,Bathroom scale ADLER AD 8183 with edge lighting White
CR 1259,Adler,NEW,64.21,1,ON-SITE,Camry CR 1259 electric kettle 20 L 1650 W Black
BT-003,Maestro,NEW,13.11,158,ON-SITE,Best Fan BT-003 MAESTRO USB Desk Fan
PH03-GY-PURPLE,AECOOLY,NEW,19.74,45,ON-SITE,AECOOLY Aero Ultra High-Speed Handheld Fan Grey-Purple
PH03-OG,AECOOLY,NEW,19.74,44,ON-SITE,AECOOLY Aero Ultra – High-Speed Handheld Fan Orange
PH03-BL-OG,AECOOLY,NEW,19.74,37,ON-SITE,AECOOLY Aero Ultra – High-Speed Handheld Fan Blue-Orange
PM02 - BK,AECOOLY,NEW,24.69,34,ON-SITE,AECOOLY COLD Air Pro portable handheld fan black
PF04-BL,AECOOLY,NEW,14.75,18,ON-SITE,AECOOLY Halo 04 ICING Foldable Handheld Fan with Cooling Plate White
NK01-BEIGE,AECOOLY,NEW,12.41,14,ON-SITE,AECOOLY CLICK 01 Mini Portable Neck Fan Beige
PH02-BEIGE,AECOOLY,NEW,11.43,12,ON-SITE,AECOOLY Aero Portable High-Speed Handheld Fan Beige
PH02-WH,AECOOLY,NEW,11.43,10,ON-SITE,AECOOLY Aero High-Speed Handheld Fan White
PH01-BK,AECOOLY,NEW,18.08,9,ON-SITE,AECOOLY Aero Pro High-Speed Handheld Fan Black
PF04-WH,AECOOLY,NEW,14.75,7,ON-SITE,AECOOLY Halo 04 ICING Foldable Handheld Fan with Cooling Plate White
PF01-BK,AECOOLY,NEW,9.77,6,ON-SITE,AECOOLY Pocket 01 Foldable Handheld Fan Black
PF01-BEIGE,AECOOLY,NEW,9.77,5,ON-SITE,AECOOLY Pocket 01 Foldable Handheld Fan Beige
OK01-COOL-GY,AECOOLY,NEW,77.89,5,ON-SITE,AECOOLY CamperPack - Cooling Pack - Multifunctional Camping Kit
OK01-CAMP-GY,AECOOLY,NEW,181.71,5,ON-SITE,AECOOLY CamperPack – Modular Camping Kit USB-C 25.9Wh IPX7
PH01-BL,AECOOLY,NEW,18.08,5,ON-SITE,AECOOLY Aero Pro High-Speed Handheld Fan Blue
PF04-BK,AECOOLY,NEW,14.75,3,ON-SITE,AECOOLY Air Gimbal Portable Handheld Fan Black
PC01-WH,AECOOLY,NEW,11.44,2,ON-SITE,AECOOLY Halo 04 ICING Foldable Handheld Fan with Cooling Plate White
PB02-PK,AECOOLY,NEW,13.12,1,ON-SITE,AECOOLY Halo 02 – Portable Handheld Fan rose
PC-LW 1214,PROFICOOK,NEW,7.4,34,ON-SITE,ProfiCook PC-LW 1214 Stainless steel Electronic kitchen scale
KSC01EGMWW,SMEG,NEW,107.16,23,ON-SITE,Smeg Collezione Kitchen Scales KSC01EGMWW Emerald Green
52500,PROFICOOK,NEW,20.8,22,ON-SITE,ProfiCook PC-KW 1247 Stainless steel Countertop Mechanical kitchen scale
ZKS1451,Zelmer,NEW,12.32,12,ON-SITE,Zelmer ZKS1451 White Ivory Countertop Square Electronic kitchen scale
KSC01BLMWW,SMEG,NEW,106.91,9,ON-SITE,Smeg Collezione Kitchen Scales KSC01BLMWW Black
AD 3166,Adler,NEW,8.17,7,ON-SITE,Adler AD 3166 Electronic kitchen scale
ES9900040B,BLACK+DECKER,NEW,7.99,4,ON-SITE,Black+Decker kitchen scale ES9900040B (5 kg)
AD 3161,Adler,NEW,6.09,4,ON-SITE,Adler AD 3161 kitchen scale White Rectangle Electronic personal scale
AD 3180,Adler,NEW,7.13,2,ON-SITE,ADLER AD 3180 kitchen scale
AD 3134,Adler,NEW,15.66,2,ON-SITE,Adler AD 3134 Electronic kitchen scale Stainless steel Round
AD 3177b,Adler,NEW,11.91,1,ON-SITE,ADLER AD 3177b kitchen scale
XPB-2800 B,Ravanson,NEW,119.01,18,ON-SITE,Spin Dryer Ravanson XPB-2800 B
XPB2800-X,Ravanson,NEW,124.89,10,ON-SITE,Spin dryer Ravanson XPB2800-X (6kg; inox)
ZC255B,Tefal,NEW,107.23,40,ON-SITE,Tefal Infiny Juice ZC255B Juice extractor Grey Silver 200 W
ZC150838,Tefal,NEW,91.4,24,ON-SITE,Slow Juicer TEFAL ZC150838 Black 150W
ZC605D38,Tefal,NEW,282.41,15,ON-SITE,TEFAL ZC605D38 Slow Juicer
HR1888/70,Philips,NEW,138.74,10,ON-SITE,Philips Viva Collection HR1888/70 juice maker 150 W Black Transparent
MESM500W,BOSCH,NEW,149.59,2,ON-SITE,Bosch MESM500W juice maker Slow juicer 150 W Black White
CSC112X,CROCK-POT,NEW,74.18,9,ON-SITE,Crock-Pot CSC112X 6.5-litre slow cooker (silver)
CSC111X,CROCK-POT,NEW,67.41,2,ON-SITE,Crockpot CSC111X Slow cooker 3.5 L Stainless steel
SCCPRC507B-050,CROCK-POT,NEW,42.78,1,ON-SITE,Crock-Pot slow cooker SCCPRC507B-050 4.7l (black)
CE3520,CONCEPT,NEW,36.55,18,ON-SITE,Citrus squeezer Concept CE-3520
924269000,taurus,NEW,50.42,14,ON-SITE,Taurus Easy Press 1000 Legend Citrus Squeezer
924273000,taurus,NEW,10.82,12,ON-SITE,Taurus CITRUS COMPACT Hand juicer 30 W Black Orange Transparent
924254000,taurus,NEW,19.06,6,ON-SITE,Taurus Citrus Glass electric citrus press 1 L 30 W Black Red Transparent
924257000,taurus,NEW,53.07,5,ON-SITE,Taurus Easy Press 600 Centrifugal juicer 600 W Black Brown
ES9240080B,BLACK+DECKER,NEW,49.32,5,ON-SITE,Citrus squeezer Black+Decker BXCJ350E (350W)
AD 4012,Adler,NEW,14.1,5,ON-SITE,ADLER AD 4012 CITRUS SQUEEZER
AD 3075,Adler,NEW,16.24,1,ON-SITE,Adler AD 3075 Donut maker white
80260_CZARNA,HEINRICH'S,NEW,108.51,11,ON-SITE,Heinrich's HGB 5088 W Freezer Black
80260_SREBRNA,HEINRICH'S,NEW,109.81,10,ON-SITE,Heinrich's HGB 5088 IX Freezer silver
80260_BIAŁA,HEINRICH'S,NEW,106.68,8,ON-SITE,Heinrich's HGB 5088 W Freezer White
85R11,AeroPress,NEW,26.4,132,ON-SITE,AeroPress 85R11 Coffee maker
085276081892,AeroPress,NEW,17.61,104,ON-SITE,AeroPress Flow Control Filter Cap Coffee machine cover Black
39500-512-0,ZWILLING,NEW,10.4,57,ON-SITE,ZWILLING Thermo tea infuser 420 ml black
085276081984,AeroPress,NEW,32.72,55,ON-SITE,AeroPress Clear Coffee maker
8006363040556,BIALETTI,NEW,32.32,54,ON-SITE,Bialetti Brikka Moka pot 0.1 L Black Stainless steel
85276082691,AeroPress,NEW,57.23,44,ON-SITE,AEROPRESS Go Plus Coffee Maker with Pink Thermal Mug 475 ml
8006363011662,BIALETTI,NEW,43.82,41,ON-SITE,Bialetti Moka Express Moka pot 0.775 L Aluminium Black
990001165,BIALETTI,NEW,33.11,39,ON-SITE,Bialetti Moka Express Moka pot 0.55 L Black Silver
85276082424,AeroPress,NEW,57.26,34,ON-SITE,Go Plus coffee maker with black AeroPress thermal mug
8006363027625,BIALETTI,NEW,21.59,30,ON-SITE,Bialetti Moka Break Alpina Moka pot Green
990001164,BIALETTI,NEW,22.93,24,ON-SITE,Bialetti Moka Express Moka pot 0.23 L Aluminium
4977642143340,HARIO,NEW,15.46,18,ON-SITE,HARIO V60-01 White Ceramic Drip
MR-1666-6-BLACK,Maestro,NEW,6.3,17,ON-SITE,Maestro 6 cup coffee machine MR-1666-6-BLACK black
085276081991,AeroPress,NEW,55.68,13,ON-SITE,AeroPress XL Coffee maker
990001168,BIALETTI,NEW,18.38,12,ON-SITE,Bialetti Moka Express Moka pot Aluminium Black
MR-1666-6-BROWN,Maestro,NEW,6.57,12,ON-SITE,Coffee machine MAESTRO MR-1666-6-BROWN 6 cup Bronze
MR-1657-3-BEIGE,Maestro,NEW,6.91,10,ON-SITE,Aluminium moka pot MR-1657-3-BEIGE MAESTRO
85276082066,AeroPress,NEW,111.88,9,ON-SITE,Premium AeroPress coffee maker
MR-1657-9-BEIGE,Maestro,NEW,10.73,8,ON-SITE,Aluminium moka pot MR-1657-9-BEIGE MAESTRO
MR-1333-Tea,Maestro,NEW,10.29,8,ON-SITE,Maestro MR-1333-tea 1.1 L Stainless steel
MR-1667-6,Maestro,NEW,9.85,7,ON-SITE,Coffee machine for 6 cups MR-1667-6 MAESTRO
502020352,BIALETTI,NEW,47.98,6,ON-SITE,Coffee maker BIALETTI BRIKKA INDUCTION 4TZ 180 ml Anthracite Silver
502020171,BIALETTI,NEW,30.47,6,ON-SITE,Coffee maker BIALETTI RAINBOW 6TZ 300 ml Yellow
28068001012,CHEMEX,NEW,38.61,4,ON-SITE,Classic coffee maker + 6 CHEMEX cups
MR-1658-3,Maestro,NEW,5.65,3,ON-SITE,Aluminium moka pot MR-1658-3 MAESTRO
MR-1666-3-BLACK,Maestro,NEW,5.09,2,ON-SITE,3 cup coffee machine MAESTRO MR-1666-3-BLACK Black
MR-1660-9,Maestro,NEW,11.11,1,ON-SITE,Maestro MR-1660-9 Coffee maker 450 ml Stainless steel
MR-1657-6-BEIGE,Maestro,NEW,8.83,1,ON-SITE,Aluminium moka pot MR-1657-6-BEIGE MAESTRO
3734,Clatronic,NEW,64.96,200,ON-SITE,CLATRONIC HBB 3734 Upright garment steamer 1200 W White
DST7511/80,Philips,NEW,63.34,155,ON-SITE,Philips DST7511/80 iron Dry & Steam iron SteamGlide Elite soleplate 3200 W Black
81011,PROFICARE,NEW,80.26,141,ON-SITE,PROFICARE Upright garment steamer
DST7510/80,Philips,NEW,75.56,135,ON-SITE,PHILIPS Iron DST 7510/80
IS7286BK,Braun,NEW,242.82,132,ON-SITE,Braun CareStyle 7 Pro Steam Generator IS7286
STH3000/20,Philips,NEW,27.02,120,ON-SITE,Philips 3000 series STH3000/20 steam cleaner Portable steam cleaner 0.1 L 1000 W Blue
FV6812E0,Tefal,NEW,43.3,117,ON-SITE,Tefal Ultimate Pure FV6812E0 iron Steam iron 2800 W Blue Silver
FV6840E0,Tefal,NEW,52.93,110,ON-SITE,Tefal Ultragliss Anti-Calc Plus FV6840 Steam iron 2800 W Purple Silver
FV9865,Tefal,NEW,86.9,95,ON-SITE,Tefal FV9865E0 iron Dry & Steam iron Durilium Autoclean soleplate 3000 W Black Gold
GV9221EO,Tefal,NEW,179.99,89,ON-SITE,Tefal Pro Express Protect GV9221E0 steam ironing station 2600 W 1.8 L Blue White
DT9814,Tefal,NEW,95.41,88,ON-SITE,Tefal AeroSteam DT9814F0 garment steamer Handheld garment steamer 0.1 L 1400 W White
DST5030/80,Philips,NEW,38.72,84,ON-SITE,Philips 5000 series DST5030/80 iron Steam iron SteamGlide Plus soleplate 2400 W Violet
GV9721E0,Tefal,NEW,216.01,83,ON-SITE,Tefal Pro Express Ultimate II GV9721 1.2 L Durilium AirGlide Autoclean soleplate Red White
GC7920/20,Philips,NEW,129.44,74,ON-SITE,Philips GC7920/20 steam ironing station 2400 W 1.5 L SteamGlide soleplate Aqua colour
GV9812,Tefal,NEW,255.43,72,ON-SITE,Tefal Pro Express Vision GV9812 3000 W 1.1 L Durilium AirGlide Autoclean soleplate Blue White
DT9100E0,Tefal,NEW,68.59,67,ON-SITE,Tefal Access Steam Care DT9100 Handheld garment steamer 0.2 L 1600 W Black Copper
FV9844E0,Tefal,NEW,72.77,63,ON-SITE,TEFAL ULTIMATE PURE FV9844E0 IRON 3200 W
DT6130,Tefal,NEW,27.87,60,ON-SITE,Tefal DT613 Handheld garment steamer 70 L 1300 W White Blue
DT8270,Tefal,NEW,53.84,60,ON-SITE,Tefal Acces Steam Force DT8270 Handheld garment steamer 0.2 L 2000 W Black
331250,PROFICARE,NEW,12.32,57,ON-SITE,ProfiCare PC-DB 3125 Steam iron Ceramic soleplate 800 W Blue Rose
DST7051/30,Philips,NEW,60.56,56,ON-SITE,Iron PHILIPS DST 7051/30
DT7130,Tefal,NEW,44.2,55,ON-SITE,Tefal Access Steam Easy DT7130 Handheld garment steamer 0.15 L 1400 W Blue White
FV6842E0,Tefal,NEW,54.76,54,ON-SITE,Tefal Ultragliss Anti-Calc Plus FV6842 Steam iron 2800 W Blue Silver
MR-317T,Maestro,NEW,11.56,48,ON-SITE,Steam iron MAESTRO MR-317T 1100W travel iron Purple
DT8765,Tefal,NEW,62.76,46,ON-SITE,Tefal Pure Force DT8765E0 garment steamer Handheld garment steamer 0.18 L 1800 W Black Cinnamon colour
QT2020,Tefal,NEW,262.51,46,ON-SITE,Tefal QT2020 1.1 L 2170 W Black Copper
DST6120/20,Philips,NEW,68.27,45,ON-SITE,Philips 6000 series DST6120/20 iron Steam iron SteamGlide Plus soleplate 2600 W Blue
SV4110E0,Tefal,NEW,68.42,37,ON-SITE,Tefal Express Optimal SV4110 2200 W 1.2 L Ceramic Express Glide Blue White
QT1811E0,Tefal,NEW,228.78,34,ON-SITE,TEFAL QT 1811 IXEO ironing system
FV8062E0,Tefal,NEW,69.9,33,ON-SITE,Tefal Puregliss FV8062E0 iron Dry & Steam iron Durilium AirGlide Autoclean soleplate 3000 W Black Grey
HGC 8705,HEINRICH'S,NEW,57.08,32,ON-SITE,Heinrich's HGC 8705 Steam iron
SV8151E0,Tefal,NEW,131.37,29,ON-SITE,Tefal Express Vision SV8151 2800 W 1.8 L Durilium AirGlide Autoclean soleplate Blue Black
FV6872E0,Tefal,NEW,50.17,27,ON-SITE,Tefal Smart Protect Plus FV6872 Dry & Steam iron Durilium Airglide soleplate 2800 W Blue
DST2020/90,Philips,NEW,29.31,25,ON-SITE,Philips 2000 series DST2020/90 iron Steam iron Ceramic soleplate 2000 W Aqua colour
GC801/10,Philips,NEW,74.12,24,ON-SITE,Philips 8000 series GC801/10 garment steamer 0.23 L 1600 W Pink White
SV9202E0,Tefal,NEW,139.89,24,ON-SITE,Tefal Express Protect SV9202 2800 W 1.8 L Durilium AirGlide Autoclean soleplate White Blue
GV9E22E0,Tefal,NEW,184.08,20,ON-SITE,Tefal Pro Express Eco GV9E22E0 steam ironing station 2200 W 1.8 L Durilium AirGlide Autoclean soleplate Beige White
ZIR0500,Zelmer,NEW,23.77,17,ON-SITE,Zelmer ZIR0500 Dry & Steam iron Stainless Steel soleplate 1100 W Black Blue White
YT4050E1,Tefal,NEW,522.88,15,ON-SITE,TEFAL YT4050E1 Automatic Steam Cabinet
FV5718,Tefal,NEW,39.54,14,ON-SITE,Tefal EasyGliss Plus FV5718 iron Dry & Steam iron Durilium soleplate 2400 W Turquoise White
ES9180070B,BLACK+DECKER,NEW,16.58,13,ON-SITE,Steam iron Black+Decker BXIR2200E (2200W)
ES9180220B,BLACK+DECKER,NEW,34.06,12,ON-SITE,Iron Black+Decker BXIR2801E
MR-320C,Maestro,NEW,48.63,11,ON-SITE,Maestro MR-320C steam ironing station 2400 W 1.5 L Ceramic soleplate Black Pink gold
DST7041/20,Philips,NEW,58.34,7,ON-SITE,Philips 7000 series DST7041/20 HV Steam Iron Light/Dark Blue
ZIR3210,Zelmer,NEW,53.29,7,ON-SITE,3200W Performance Iron ZIR3210 Zelmer
ES9180250B,BLACK+DECKER,NEW,23.92,7,ON-SITE,Travel steam iron Black+Decker BXIR1000E
ES9180190B,BLACK+DECKER,NEW,27.89,7,ON-SITE,Steam iron Black+Decker BXIR3000E (3000W; black)
918709000,taurus,NEW,29.32,6,ON-SITE,Taurus ATLAS 2800 CERAMIC 2800 W steam iron
918167000,taurus,NEW,38.4,6,ON-SITE,Taurus Geyser Eco Easy 3000 Iron
DST3030/70,Philips,NEW,32.63,6,ON-SITE,Philips 3000 series Steam iron 2400 W
AD 5044,Adler,NEW,24.66,6,ON-SITE,ADLER AD 5044 garment steamer
CR 5029,Adler,NEW,14.85,5,ON-SITE,Camry CR 5029 iron Steam iron Black Yellow 2400 W
AD 5030,Adler,NEW,17.02,5,ON-SITE,Adler AD 5030 iron Steam iron Ceramic soleplate 3000 W Brown Grey White
918714000,taurus,NEW,31,4,ON-SITE,Taurus BALI 3200 X-SLIDE Dry & Steam iron Ceramic soleplate 3200 W Blue White
918986000,taurus,NEW,28.9,3,ON-SITE,Taurus Quios 3000 Dry & Steam iron Ceramic soleplate 3000 W Black Blue
ES9180320B,BLACK+DECKER,NEW,79.74,3,ON-SITE,Black+Decker steam generator BXSS2800E
ES9180260B,BLACK+DECKER,NEW,71.89,2,ON-SITE,Black+Decker steam generator BXSS2401E (2400W)
AD 5022,Adler,NEW,14.13,2,ON-SITE,Adler AD 5022 Dry & Steam iron Ceramic soleplate Purple 2200 W
918787000,taurus,NEW,27.31,2,ON-SITE,Taurus Geyser Eco 2800W Iron
STH3000/20,Philips,NEW,26.43,2,ON-SITE,Philips 3000 series STH3000/20 steam cleaner Portable steam cleaner 0.1 L 1000 W Blue
918693000,taurus,NEW,80.9,1,ON-SITE,Taurus Sliding Pro 3000 Non Stop 3000 W 1.5 L Ceramic soleplate Black
DST2010/20,Philips,NEW,18.69,1,ON-SITE,Philips 2000 series DST2010/20 iron Steam iron Non-stick soleplate 2000 W Grey
PC-VK 1080,Clatronic,NEW,46.64,27,ON-SITE,ProfiCook PC-VK 1080 vacuum sealer Black Stainless steel
AD 4503,Adler,NEW,41.16,5,ON-SITE,Vacuum sealer ADLER AD 4503
VS0100X,FoodSaver,NEW,66.01,3,ON-SITE,FoodSaver vacuum sealer VS0100X
533132,No name,NEW,62.23,1,ON-SITE,AddLiving V300 vacuum sealer White Silver
VS0290X,FoodSaver,NEW,48.32,1,ON-SITE,FoodSaver Vacuum sealer VS0290X
TSG 5704,Boman,NEW,268.14,23,ON-SITE,Bomann TSG 5704 Countertop dishwasher 2 place settings D white
8840,HEINRICH'S,NEW,259.03,5,ON-SITE,HEINRICH'S 8840 Silver Dishwasher
TSG 5702,Boman,NEW,246.06,4,ON-SITE,Bomann TSG 5702 Countertop 3 place settings
ZD4A042-30EE00EZ,ZEBRA,NEW,357.56,24,ON-SITE,Zebra ZD421 label printer Thermal transfer 203 x 203 DPI Wired & Wireless
ZD4A043-30EE00EZ,ZEBRA,NEW,397.99,22,ON-SITE,Zebra ZD421T label printer Thermal transfer 300 x 300 DPI 102 mm/sec Wired & Wireless Ethernet LAN Bluetooth
ZD4A042-D0EE00EZ,ZEBRA,NEW,324.58,19,ON-SITE,Zebra ZD421 label printer Direct thermal 203 x 203 DPI Wired & Wireless
2112722,DYMO,NEW,90.58,12,ON-SITE,DYMO LabelWriter 550 Label Printer | Label Maker with Direct Thermal Printing | Automatic Label Recognition | Prints Address LabelsShipping LabelsBarcode Labels & More | EU 2 Pin Plug
ZD4A043-D0EE00EZ,ZEBRA,NEW,441.1,11,ON-SITE,Zebra ZD421D label printer Direct thermal 300 x 300 DPI 102 mm/sec Wired & Wireless Ethernet LAN Bluetooth
ZT41142-T0E0000Z,ZEBRA,NEW,1029.32,10,ON-SITE,Zebra ZT411 203 x 203 DPI Wired & Wireless Direct thermal / Thermal transfer POS printer
ZD4A042-30EM00EZ,ZEBRA,NEW,315.78,8,ON-SITE,Zebra ZD421 label printer Thermal transfer 203 x 203 DPI
ZD6A043-30EF00EZ,ZEBRA,NEW,551.82,6,ON-SITE,Zebra ZD621 label printer Thermal transfer 300 x 300 DPI 152 mm/sec Wired & Wireless Ethernet LAN Bluetooth
ZT42162-T0E0000Z,ZEBRA,NEW,2054.9,5,ON-SITE,Zebra ZT421 label printer Direct thermal / Thermal transfer 203 x 203 DPI 305 mm/sec Wired & Wireless Ethernet LAN Bluetooth
ZT41143-T0E0000Z,ZEBRA,NEW,1221.01,4,ON-SITE,Zebra ZT411 300 x 300 DPI Wired & Wireless Direct thermal / Thermal transfer POS printer
ZT23142-T0E000FZ,ZEBRA,NEW,616.49,3,ON-SITE,Zebra ZT231 label printer Thermal transfer 203 x 203 DPI 305 mm/sec Wired & Wireless Ethernet LAN Bluetooth
1EA01921201,NiiMbot,NEW,5.65,11,ON-SITE,Niimbot T70*40-180 White Thermal labels
S0720680,DYMO,NEW,12.88,4,ON-SITE,DYMO Authentic D1 Labels | Black Print on White Tape | 9 mm x 7 m | Self-Adhesive Labels for LabelManager Label Makers | Made in Europe
S0720530,DYMO,NEW,12.55,2,ON-SITE,DYMO D1 Standard - Black on White - 12mm
A2A48048001,NiiMbot,NEW,5.63,1,ON-SITE,Niimbot RP12*22-260 thermal labels
WCMTB-T27B6ABC2-A6,ZEBRA,NEW,681.72,10,ON-SITE,Zebra TC27 handheld mobile computer 15.2 cm (6 ) 1080 x 2160 pixels Touchscreen Black
MGH34ZM/A,Apple,NEW,16.31,98,ON-SITE,Apple iPhone Air Case with MagSafe – Frost
D2-BLU,W-King,NEW,24.3,5,ON-SITE,W-KING D2 Bluetooth wireless speaker – blue
X20-BLK,W-King,NEW,230.6,4,ON-SITE,W-KING X20 Wireless Bluetooth Speaker – Black
D2-BLK,W-King,NEW,24.3,3,ON-SITE,W-KING D2 Bluetooth wireless speaker
D8-ALL/BLK,W-King,NEW,68.44,2,ON-SITE,W-KING D8 wireless Bluetooth speaker
D8-GRE,W-King,NEW,68.47,2,ON-SITE,W-KING D8 wireless Bluetooth speaker
D8-BLK/S,W-King,NEW,68.48,2,ON-SITE,W-KING D8 wireless Bluetooth speaker – black and silver
D110-BLU,W-King,NEW,30.15,2,ON-SITE,W-KING D110 Wireless Bluetooth Speaker
